S.No.175,Name of the customer,Place,Inv. No.,Inv. Date,DAYS OF INVOICE,Invoice Value,Amount Pending,PAYMENT RECIEVED DATE,Remarks,STATUS,,
98,POULTRY SPECIALITIES PVT LTD,Tanuku,OE/18/098,9/24/2018,2480,95000.00,40000.00,30000/-25/10/19::25000/-09/08/21::40000/-pending,30000/-25/10/19::25000/-09/08/21::40000/-pending,N,,
136,SIRAJUDDIN POULTRY FARMS,RM-HYDERABAD,OE/18/136,10/13/2018,2461,43000.00,28550.00,28550/- PENDING,17UNITS VITMINO RETURN 28550/- PENDING,N,,
447,BGK REDDY POULTRY FARM,Vijayawada,OE/18/0447,5/7/2019,2255,42750.00,42750.00,,,N,,
470,SVL ENTERPRISES,Vijayawada,OE/18/0470,5/21/2019,2241,27686.40,26866.40,21/05/19-820/-,26866.4/- pending,N,,
529,GVR POULTRY FARM,SHADNAGAR,OE/18/0529,6/15/2019,2216,95000.00,95000.00,,,N,,
599,VIVEN FARMS PVT LTD,SHADNAGAR,OE/18/0599,8/10/2019,2160,72500.00,20000.00,25000/-05/10/2020:::25000/-21/03/22::25000/-04/04/22::20000/- PENDING,25000/-05/10/2020:::25000/-21/03/22::25000/-04/04/22::20000/- PENDING,N,,
617,SAHASRA ENTERPRISES,Hyderabad,OE/18/0617,8/26/2019,2144,39000.00,27150.00,18200/-20/11/2020::27150/- PENDING,UMESH 6350/- BORROW(39000+6350) 18200/-20/11/2020::27150/- PENDING,N,,
715,Dr Ramakant Shankarrao Lakhe,RM-HYDERABAD,OE/18/0715,10/23/2019,2086,11900.00,8000.00,3900/-12/09/2020::8000/-PENDING,3900/-12/09/2020::8000/-PENDING,PN,,
879,SRI VENKATESWARA POULTRY FARM,SHADNAGAR,OE/18/0879,1/20/2020,1997,535000.00,20000.00,65000/-07/09/21::100000/-01/10/2021::50000/-25/10/2021::100000/-07/12/21:::100000/-09/12/21::100000/-31/12/21::20000/-pending,65000/-07/09/21::100000/-01/10/2021::50000/-25/10/2021::100000/-07/12/21:::100000/-09/12/21::100000/-31/12/21::20000/-pending,N,,
1214,EGG BANK,SHADNAGAR,OE/18/1215,10/5/2020,1738,19000.00,19000.00,,,N,,
1421,RAJARAJESHWARI POULTRIES,Tanuku,OE/18/1422,1/29/2021,1622,30500.00,20500.00,10000/-05/03/22::20500/-pending,10000/-05/03/22::20500/-pending,N,,
1470,Sucheta Medical & General Stores,SHADNAGAR,OE/18/1471,2/22/2021,1598,11704.00,7191.00,K10 5KG RET 4513/-CN 7191/- PENDING,,N,,
229,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0229,7/31/2021,1439,29900.00,27200.00,2900/-14/06/22::27200/-PENDING,2900/-14/06/22::27200/-PENDING,N,,
236,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0236,8/4/2021,1435,25250.00,25250.00,,,N,,
259,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0259,8/21/2021,1418,43500.00,43500.00,,,N,,
279,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0279,8/28/2021,1411,243875.00,226675.00,,17200/-RETURN K10 20KG RET SENT TO LOHI,N,,
286,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0286,8/31/2021,1408,69525.00,69525.00,,,N,,
300,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0300,9/6/2021,1402,65000.00,65000.00,,,N,,
303,ANURADHA ENTERPRISES,VIJAYAWADA,OE/21/0303,9/7/2021,1401,14000.00,14000.00,,,N,,
337,MAHA LAKSHMI POULTRY FARM,TANUKU,OE/21/0337,9/24/2021,1384,66400.00,66400.00,,,N,,
354,R.V.V. AGRI FEEDS PVT. LTD,ESHAK,OE/21/0354,9/30/2021,1378,240625.00,240625.00,PDC,7-May,N,1,219
374,R.V.V. AGRI FEEDS PVT. LTD,ESHAK,OE/21/0374,10/14/2021,1364,556500.00,556500.00,PDC,25-Jun,N,3,254
382,R.V.V. AGRI FEEDS PVT. LTD,ESHAK,OE/21/0382,10/19/2021,1359,42000.00,42000.00,PDC,2-Jul,N,0.5,256
387,VENKATARATNAMMA POULTRY FARM,TANUKU,OE/21/0387,10/20/2021,1358,245000.00,245000.00,,,N,,
414,VENKATESHWARA POULTRY FARM-KEESAREA,SHADNAGAR,OE/21/0414,10/28/2021,1350,34500.00,34500.00,,bommala,N,,
432,VENKATARATNAMMA POULTRY FARM,TANUKU,OE/21/0432,11/3/2021,1344,95000.00,95000.00,,,N,,
493,R.V.V. AGRI FEEDS PVT. LTD,ESHAK,OE/21/0493,12/3/2021,1314,127750.00,127750.00,PDC,2-Jul,N,0.5,211
495,R.V.V. AGRI FEEDS PVT. LTD,ESHAK,OE/21/0495,12/4/2021,1313,357000.00,357000.00,PDC,23-Jul,N,2,231
506,MAHA LAKSHMI POULTRY FARM,TANUKU,OE/21/0506,12/8/2021,1309,49200.00,49200.00,,,N,,
523,ESWARA POULTRIES,TANUKU,OE/21/0523,12/14/2021,1303,40000.00,40000.00,,,N,,
536,ANNAPOORNA POULTRY FARM & FEEDS,SHADNAGAR,OE/21/0536,12/16/2021,1301,92500.00,92500.00,,,N,,
